,Name,Rating,Review
0,Apple iPhone 4s,0,it can hold charge at the most for 6 hrs very unhappy with it 
1,Apple iPhone 4s,0,this phone was advertised as unlocked when that was not the case am with provider at and they stated it was locked phone and it couldn be activated now am stuck with phone that will never be activated and m afraid to purchase phone through amazon again 
2,Apple iPhone 4s,1,great purchase works just fine and us cellular figured out how to get it working with my account the clerks didn know how to activate not the seller fault excellent phone highly recommend doing business with this merchant 
3,Apple iPhone 4s,1,i love my new phone usually go for samsung or lg but think will but using iphone from now on
4,Apple iPhone 4s,1,got my first iphone and nothing wrong with it and love it 
5,Apple iPhone 4s,1,just what we needed thanks 
6,Apple iPhone 4s,1,perfect 
7,Apple iPhone 4s,0,charge does not last will never buy from this person again 
8,Apple iPhone 4s,1,works great fast shipping 
9,Apple iPhone 4s,1,the 4s is technically obsolete but works well for me at this price 
10,Apple iPhone 4s,1,nice
11,Apple iPhone 4s,1,good
12,Apple iPhone 4s,1,i didn have any problem to activate it and works great it was great buy to me thanks 
13,Apple iPhone 4s,1,everything was great works and looks great shipping was fast
14,Apple iPhone 4s,1,i got this phone as birthday present for my mother the phone arrived on time and came exactly as described we are very pleased so far 
15,Apple iPhone 4s,1,phone works great had it for over year now would buy from them again
16,Apple iPhone 4s,0,i got my iphone about month ago and it looked fantastic but when tried charging it it literally took the whole day to get to hundred percent it kept switching from the bolt to the plug symbol this made me mad but when just plugged it into the computer it took about eh good hour or so to fully charge so just last night realized that it wasn my phone that was acting up it was the plug that was broken luckily have an old plug can use and now it works perfectly fine 
17,Apple iPhone 4s,1,when ordered it was scared that it wouldn come in which the phone came in it is in perfect condtion it been month and love it so much 
18,Apple iPhone 4s,0,not upto the mark as they mentioned in portal phone is not that good so next time please give correct information about the products so that customers will no confuse anyway its ok my fault 
19,Apple iPhone 4s,0,after received this phone give it to my daughter for use and surprise the phone was locked contacted the vendor to resolve the problem but ve never got positive reply or resolution we ended by paying more money to unlock the phone 
20,Apple iPhone 4s,1,phone arrived exactly when they said and it was better than expected no problems connecting to sprint very happy customer
21,Apple iPhone 4s,1,the phone came in time and was able to go to the sprint store and he was able to get ever thing working on the phone and be able to use it right off the bay the phone come with ever thing and it looked like it was brand new 
22,Apple iPhone 4s,0,the product what received looks great but with no packaging and no charger and don know if this product was originally like this 
23,Apple iPhone 4s,1,i got the phone perfect time and the phone is as mention ver good works perfect no problemsthank you
24,Apple iPhone 4s,1,the phone was as described it was kept in very good conditions all its functions work properly and the best thing about it is it came super early so thanks man
25,Apple iPhone 4s,0,i ask for unlocked iphone 4s white but receive locked iphone 4s by sprint locked when the add said fabric unlocked it was unlocked iphone price but it was not unlocked so am very dissapointed after all that had happen to get it it was not what expected 
26,Apple iPhone 4s,0,the amount of gigs advertised is lie don quote me but m pretty sure mine might have had some sort of malware or virus pre installed on it s could be wrong but from now on m going directly to the nearest apple store 
27,Apple iPhone 4s,1,met all expectations 
28,Apple iPhone 4s,1,phone was in great shape
29,Apple iPhone 4s,0,charger wa in pieces
30,Apple iPhone 4s,1,it took little longer than would expect an amazon item to arrive but the phone was perfect 
31,Apple iPhone 4s,1,would buy it again if do need another one later looked practically brand new and worked very well but saved ton of money 
32,Apple iPhone 4s,1,excellent
33,Apple iPhone 4s,0,battery problems
34,Apple iPhone 4s,0,it didn the microphone doesn work have to use head phone all the time 
35,Apple iPhone 4s,1,i lost my good phone while on vacation and needed temporary one until hit my upgrade period this phone was in good condition and works it is obviously and old model but had no issues activating it on my own the battery life is ok maybe day with light usage but this must be expected when buying an old phone 
36,Apple iPhone 4s,1,great phone would recommend it to any one who looking for i phone to buy 
37,Apple iPhone 4s,1,great condition for the price its super slow compared to the new iphones but does the job
38,Apple iPhone 4s,0,not bad phone at all except it stops vibrating for texts or other notifications every now and then even made sure the vibration was activated for the phone but other than that it alright 
39,Apple iPhone 4s,0,fast shipping in great condition but it was locked out and tried everything could to unlock it not seemed to work
40,Apple iPhone 4s,0,great phone however it not connected with sprint as advertised therefore its not sprint so the best option in buying expensive apple iphone must make sure that it can advertised as sprint phone 
41,Apple iPhone 4s,0,the phone came in great condition and on time was relived thinking would be able to activate this phone with my current sprint account and turns out it is not locked to sprint so if you are sprint costumer highly suggest you not waist your time and money on purchasing this phone if you are verizon costumer then you can use this phone because my sprint carrier said this phone was with verizon 
42,Apple iPhone 4s,0,works as expected 
43,Apple iPhone 4s,1,my phone works great it definitely little slower on the touch screen feature than new phone but have had no other issues with it 
44,Apple iPhone 4s,1,so far it seems to be great phone for that generation it came to us with the tiniest of tiny scratches on the face so that is awesome for recycled phone it works great 
45,Apple iPhone 4s,1,awesome phone exactly as described looked brand new came with upgraded charger would buy from this company again 
46,Apple iPhone 4s,0,first phone didn recognize at times during the day that it had battery at all the second phone ear speaker didn work tired of paying 35 to have phone number moved to the next phone
47,Apple iPhone 4s,0,worst cell phone ever it has all kinds of problems including all the basics it drops calls all the time by just turning itself of it can be turned of at all and the seller won communicate with me about these problems don buy anything here 
48,Apple iPhone 4s,1,came with everything it needs headphones and charger works great and compatible to connect with sprint with ease 
49,Apple iPhone 4s,1,great price and great condition the only problem and nothing to do with the product is that the 4s doesn work too well with the current apple os so it was super sluggish but besides that loved the purchase and served as the perfect backup phone for when my main phone takes an unexpected vacation into the toilet 
50,Apple iPhone 4s,0,did not work
51,Apple iPhone 4s,1,they didn tell my the speaker doesn work was very disappointed but it been almost 2 years and still have it 
52,Apple iPhone 4s,0,not locked to sprint 
53,Apple iPhone 4s,0,the item purchased was stolen
54,Apple iPhone 4s,0,i needed an iphone in short time frame so ordered one via amazon prime item was described as functional working condition and in acceptable cosmetic appearance so my expectations were low but didn need anything pretty upon receipt the iphone was filthy with built up grime in all crevices and there was yellow discoloration one side of the screen most likely due to screen replacement however this was just the beginning before noticed the functional issues for work use speaker phone frequently so the broken speaker and mic was disappointment then noticed the battery was draining far too quickly the battery was bad tried to pick up deal and got complete lemon you may get good phone but you re rolling the dice 
55,Apple iPhone 4s,1,this product exceeded my expectations am happy bought it 
56,Apple iPhone 4s,1,the phone came in great condition got it as if it were brand new it works great as well satisfied customer
57,Apple iPhone 4s,0,no cracks or anything but the microphone is all screwed up siri doesn understand comands facetime can hear me video doens record sound very very very faint they sent me new one after had to pay return shipping pretty confident they sent me the same phone cause it has the same problemthey told me to send it back for refund if wanted but my other one is destroyed so am just sucking it up but either way wouldn buy it from these people get what you pay for 
58,Apple iPhone 4s,1,love my new apple iphone 4s the phone came as almost brand new and was able to go to the local sprint store to get it activated within five minutes with no problems also the accessories such as the headphones and charger are working brand new as well definitely got my money worth thank you amazon 
59,Apple iPhone 4s,1,even nicer than the rating works perfect will buy and sell my phones through amazon from now on
60,Apple iPhone 4s,1,my son is happy with the phone and m happy with shipping time
61,Apple iPhone 4s,1,delivery took six days that was as expected and described the phone is new and sealed in the box be sure to get and use gel case because it inhibits dents and cracks we do love it 
62,Apple iPhone 4s,1,work as expected
63,Apple iPhone 4s,0,its ok
64,Apple iPhone 4s,1,expectations met 
65,Apple iPhone 4s,1,good transaction very happy with the phone
66,Apple iPhone 4s,1,phone is working great 
67,Apple iPhone 4s,0,takes full charge but dies at 50 not very happy
68,Apple iPhone 4s,1,nice replacement phone for my son 
69,Apple iPhone 4s,1,i brought this for my girlfriend and she loves the phone don like apple prefer samsung but she like this product 
70,Apple iPhone 4s,0,many problems with this phone connected to my account and it showed up as white iphone but it is black then it would not connect to sprint which it says it is locked to sprint but the only networks available were att and tmobile since this was my second time attempting to buy an iphone from amazon for my daughter birthday 4 1 and it still didn work said forget it so now my daughter uses two phones one for calling and one for facetime but only on wifi 
71,Apple iPhone 4s,0,was not locked to sprint as stated
72,Apple iPhone 4s,0,it was as described but did not have 16gb when recieved
73,Apple iPhone 4s,0,good morning the phone iphone 4s low order 116 6256512 7837051 informron me was new and wine used too is recaienta the battery lasts 20 minutes if you do not really feel cheated by this acquisition as it is not expected and can not enjoy it want to solve this problem because as said feel cheated give me back the money by gift card to buy another phone if it gets to that price 
74,Apple iPhone 4s,0,didn know the lock screen did not work and the wrong cmda gsm was listed
75,Apple iPhone 4s,0,this phone did not hold charge and when did charge it it was very hot to the touch and could not hold it to my ear have returned it and waiting for refund 
76,Apple iPhone 4s,1,i placed the order and two days later received it kind of sketchy though because it was wrapped in three plastic bags and put into box the phone however is in great condition hope it wasnt stolen lol
77,Apple iPhone 4s,1,he was fast and the phone was exactly the way he posted and the phone could not had been no better look brand new was very happy from buying from him once got it before got it was little scared he said no refunds or return once brought so as soon as saw that my mind was every where but the phone was good no problems and love the iphone m using it now for this review 
78,Apple iPhone 4s,1,fast sleekefficientworks well in nyc on the sprint networksolid phoneresponsive and compactvery happy with it
79,Apple iPhone 4s,1,my daughter just love her gift not an apple fan but the price was good also got the 5 for my son 
80,Apple iPhone 4s,1,bought for my daughter she loves loves phone looks great no scratches perfect condition gave 4 stars because came with no charger
81,Apple iPhone 4s,1,great product replaced my android eve which grew to not being able to stand the iphone has no problems other than it being little more user friendly 
82,Apple iPhone 4s,1,i really like the phone seri isn as helpful as would like but over all the phone is great the picture on it is very clear
83,Apple iPhone 4s,0,product is good works fine but decided to stay with at and this is sprint asked for an exchange or to return it and no one replied to me so just make sure its exactly what you need and hope nothing changes because you re stuck with it reguardless of what policy is stated
84,Apple iPhone 4s,0,i ended up returning the phone ordered an iphone 4s for sprint when got it it was for verizon phone also the lock button didn work and then the back kept slipping off and lastly at the bottom of the screen it looked funky was frustrated cuz was gonna give it as gift to my fiancée emailed the seller and asked about it and they told me check this out they told me that somewhere which couldn find that it said in the description not compatible with sprint what it was advertised as sprint phone anyways the person started to argue with me and told me that was wrong nice anyways returned it and got my money back so thank them for that never going to buy from them again 
85,Apple iPhone 4s,1,it came with its original packaging earphones charger great condition no scratches no dents and works perfect love it 
86,Apple iPhone 4s,1,the phone works great it is definitely in perfect conditions it has great speed and all the functions need
87,Apple iPhone 4s,1,it an iphone think everyone knows what to expect always make sure you can verify it a clean esn with sprint of course seller was awesome 
88,Apple iPhone 4s,0,if you notice the customer feedback on rob house of good times is nothing but negative the seller is claiming to offer products but in reality has no intention whatsoever on providing them the seller just collects the money from the buyers and hopes that they do not notice and or care enough to file claim and get refund am glad went through amazon so know am protected but am very upset with how much of an inconvenience this has been if only had read all the feedback before placing my order with this person 
89,Apple iPhone 4s,1,the iphone is great the only problem had was the fact that the charger wasnt working luckily had my ipods charger and that worked for it overall highly recommend it
90,Apple iPhone 4s,0,i have bought iphone 4s and cheeped to angola but unfortunatly cannot use it because its locked and came with sprint sim nº icc id8901010 018633051660f card according to sprint assistant this stolen iphone and cannot be unlocked please revert asap
91,Apple iPhone 4s,0,the iphone does not work my service provider could not activate it because it still had an account associated to the serial number of the phone purchased as refurbished while the phone may work really don know because it can be activated the seller has been contacted and has not contacted me to resolve the problem why don know other than they are not reputable unprofessional and could care less about their customers either way would highly recommend amazon remove them as seller on their website am very disturbed and dissatisfied that could be ignored as customer and shown no respect about this issue will certainly pass this experience on to others many others hope amazon can lean on them to do what is right 330 rip off is completely unacceptable for any so called wanna be legitimate company hope can syndicate my feedback and get it to the right people 
92,Apple iPhone 4s,1,the phone arrived as promised and packaged well it did appear to be new phone complete with charger and ear buds the curious part came when tried to activate it went online at sprint and entered the activation number that found on the sticker on the outside of the box the system would not take it after three tries was connected to chat line was asked to once again enter the number and it was once again rejected was told to turn on the phone and check the number stored in the phone did and found it was different than the number on the box when we entered that number the activation was completed so was just curious why new phone would come in box that had different activation numbers otherwise 5 stars 
93,Apple iPhone 4s,0,i lost my money by buying this phone did not understand it was locked phone live in brazil and here there dont have sprint it was the worst purchase of my life is standing there in the drawer serves no 
94,Apple iPhone 4s,0,i received verizon phone not to mention it was used in the description it says new not used did not pay 400 dollars for this contacted the sell and amazon the seller sent me returning label on friday and sent it back friday so it should be there on tuesday just want my phone orders already my sprint iphone 4s 16gb new they better send it to me with in this week like they said they were am outraged amazon on the other hand said if they don they ll have to take matters in there own hands just want my phone they should send me free case or something now for there mistake mad mad mad 
95,Apple iPhone 4s,1,love the 4s compared to the 5 phone was practically brand new without blemish on it long time android user and am happy having made the switch 
96,Apple iPhone 4s,1,works awesome
97,Apple iPhone 4s,1,our first smart phones new as advertised they arrived in sealed original packages activated them on our ting account online in just few minutes we like them very much bit of learning curve for couple of 65 year olds used to flip phones but we are learning and best of all our kids have quit bugging us about our old flips 
98,Apple iPhone 4s,1,from long time droid user can say that have overcome my fear of the iphone and now prefer it over other phones used to be diabolical hater of this phone along with my friends craig rob and stephen who would have thought they would hate apple stuff thought all liberals yearned for the day they could lick the sweat from steve jobs sack metaphorically speaking of course anyway broke away from the thought process that had been embedded in my mind since my childhood about iphones and decided to try them out much to my surprise they are pretty cool maybe one day the other guys will come around if can ever get them to give up on this human centipede thing they ve been trying to do with each other overall review 5 stars d buy again 
99,Apple iPhone 4s,0,supposedly new didn work
100,Apple iPhone 4s,0,do not buy phone can be activated
101,Apple iPhone 4s,1, 
102,Apple iPhone 4s,0,really slow software just lagging and freezes also dies at 20 battery sometimes 30 
103,Apple iPhone 4s,1,this is great phone at great price highly recommend it 
104,Apple iPhone 4s,1,the phone worked fine it shall be used as an itouch and not an iphone there was small blemish on it it was the best value for what was looking for 
105,Apple iPhone 4s,1,the best
106,Apple iPhone 4s,1,love it not single scratch on there got 2 free cases from the company just for buying phone highly recommend 
107,Apple iPhone 4s,1,very happy about my purchase phone was as described practically new no scratches no problems with the phone so far 2 thumbs up alisonsells 
108,Apple iPhone 4s,1,not sprint customer but my aunt sure liked it was really good purchase and very cheap love it
109,Apple iPhone 4s,1,got the item and this one was not reported stolen it was stated as being new on the ad but it is not it works and am happy but considering it is used feel the price was little high overall like the phone it arrived early it was not stolen and it works 
110,Apple iPhone 4s,0,despite that the phone was in quality condition this phone was unable to be activated on my account because it was reported as lost stolen and can never be activated am outraged have waited for days for this phone to get here only to realize that this was scam poor choice 
111,Apple iPhone 4s,0,the phone is locked can not use it worse buy regret that bought the phone can not use it
112,Apple iPhone 4s,1,my last 4s iphone got stolen and had to buy another one for as cheap as possibly could this was actually good deal and they phone is like new although can tell it is used everything is working fine so far but m babying the phone since my last iphone experience had affected me anyways great deal and got it pretty quickly d recommend it 
113,Apple iPhone 4s,0,apple iphone 4s 16gb black sprint mobile phones labeled as very really true should be good after the receipt of the goods found the phone glass front panel corners of serious bump sneer temporarily over period of time to prepare for the apple 5now with no problems 
114,Apple iPhone 4s,0,this is can not insert sim activated iphone4sunable to activateis lockedis lockedis lockedis lockedis lockedis lockedis locked
115,Apple iPhone 4s,0,this why people don trust the internet why do this just wanted phone why did have to one of those people 
116,Apple iPhone 4s,1,everything good about the product
117,Apple iPhone 4s,0,bought used and wireless function did not work 
118,Apple iPhone 4s,1,love it
119,Apple iPhone 4s,1,my first iphone love it 
120,Apple iPhone 4s,1,the phone was logged into sprint with no problems and is working great this company was pleasure to work with and their products are above expectations very pleased with this purchase 
121,Apple iPhone 4s,0,hello good afternoon estimated at the time of purchase for iphone 4s appeared at the time of purchase unlocked iphone and now appeared locket please tell me what should do thack yuo
122,Apple iPhone 4s,1,phone was in great shape it started right up and the service once transferred was excellent 
123,Apple iPhone 4s,1,first time user of the phone really enjoying the product took little time getting use to the difference between android and the apple was happy with the fast delivery time of the product and item was in good condition 
124,Apple iPhone 4s,1,very satisfied with the 4s use it on ting and my bill is 55 month for two of us who use plenty of data texts and minutes easy to setup on ting 
125,Apple iPhone 4s,1,i recently purchased this to replace my fiance lg g2 screen cracked 2 times on the darn thing the order was fulfilled by avid cell and came in perfect working condition it holds charge has full functionality and looks as though it was never even used my fiance and are both very pleased with the purchase 
126,Apple iPhone 4s,0,i had intended to use this phone with boost mobile service but was told thati could not use it for anybody but sprint so now m stuck with sprint phone and dont want sprint service plan 
127,Apple iPhone 4s,1,this iphone saved my life and money as well phone was brand new and still have this phone was very pleased with this purchase and was so glad to find new iphone on amazon for an affordabe price
128,Apple iPhone 4s,1,the iphone bought was just as it was listed very happy with the phone but the items with the phone was lil random
129,Apple iPhone 4s,1,i sure the mouse is very good use it and feel very well like it very much would buy it again
130,Apple iPhone 4s,1,thank you bought for my mom as replacement device price was right and will hopefully hold her over until she can upgrade thanks 
131,Apple iPhone 4s,0,the product is not what you wanted try to connect several times to the seller without any success the product had flaw in the letter does not work and asked for an unlocked phone and sent me locked phone
132,Apple iPhone 4s,1,i am bowled over by my phone not what expected for it arrived early and there was not scratch on the phone like brand new pleasant surprise thank you so much 
133,Apple iPhone 4s,1,over all very nice phone for the price the only sign of it being used was tiny scratch on the screen my only issue with the phone is that the power button on the top broke within 2 weeks of me using it have been able to use assisted touch to still use the phone but it is rather annoying 
134,Apple iPhone 4s,0,and the home button is crooked are you kidding me the phone works just fine otherwise but whoever refurbished this didn bother to clean it or put the home button back in properly the speakers headphone jack hole and the charging slot are all absolutely filthy and so clogged with dust am surprised they even work 
135,Apple iPhone 4s,1,this phone was exactly as described it has small chip on the top corner but you couldn tell especially if you had case on the phone had no problems contacting sprint and setting it up had the phone for about year before moved over to mobile
136,Apple iPhone 4s,1,very pleased with my purchase 
137,Apple iPhone 4s,0,totally bad experience the phone would not activate apple support person did not have clue what to do dont waste your time with those folks somewhere in the middle of trying to activate stood up to fast and the phone was jerked out of my hand it flew through the air and hit the tile floor where it was destroyed this thing blew apart not just the glass but the body too also bent now cant send back im out 75 
138,Apple iPhone 4s,1,great if are the one who sent me the meid so could check it with my phone carrier were quick honest and we love it 
139,Apple iPhone 4s,0,false advertisement don purchase ordered white sprint iphone 4s and received black verizon iphone 4s couldn use the phone at all purchased for my daughters 11th birthday however had to disappoint her read the reviews because they are true now have to wait to receive my money back 
140,Apple iPhone 4s,0,this phone is horrible it does not charge and when it is fully charged it only stays on for 15 mins plus when the phone charges it overheats needed this phone for work and one of my customers with dying 5 iphone stayed charged longer than this phone on 30 
